Organ Procurement Organization,latitude,longitude
"Life Connection of Ohio (OHLC), Maumee, OH  ",41.5628294,-83.6538244
"Lifeline of Ohio (OHLP), Columbus, OH  ",39.9611755,-82.9987942
"LifeCenter Organ Donor Network (OHOV), Cincinnati, OH  ",39.1031182,-84.5120196
"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY *  ",38.2526647,-85.7584557
"LifeShare Transplant Donor Services of Oklahoma (OKOP), Oklahoma City, OK  ",35.4675602,-97.5164276
"Pacific Northwest Transplant Bank (ORUO), Portland, OR  ",45.5230622,-122.6764816
"Gift of Life Donor Program (PADV), Philadelphia, PA  ",39.9525839,-75.1652215
"Center for Organ Recovery and Education (PATF), Pittsburgh, PA  ",40.4406248,-79.9958864
"New York Organ Donor Network (NYRT), New York, NY *  ",40.7127837,-74.0059413
"LifeLink of Puerto Rico (PRLL), Guaynabo, PR  ",18.416162,-66.120679
"New England Organ Bank (MAOB), Waltham, MA *  ",42.3764852,-71.2356113
"LifePoint (SCOP), Charleston, SC  ",32.7764749,-79.9310512
"LifeLink of Georgia (GALL), Norcross, GA *  ",33.9412127,-84.2135309
"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN *  ",44.9537029,-93.0899578
"Tennessee Donor Services (TNDS), Nashville, TN  ",36.1626638,-86.7816016
"Mid-South Transplant Foundation (TNMS), Memphis, TN  ",35.1495343,-90.0489801
"LifeGift Organ Donation Center (TXGC), Houston, TX  ",29.7604267,-95.3698028
"Texas Organ Sharing Alliance (TXSA), San Antonio, TX  ",29.4241219,-98.4936282
"Southwest Transplant Alliance (TXSB), Dallas, TX  ",32.7766642,-96.7969879
"Intermountain Donor Services (UTOP), Salt Lake City, UT  ",40.7607793,-111.8910474
"LifeNet Health (VATB), Virginia Beach, VA  ",36.8529263,-75.977985
"Washington Regional Transplant Community (DCTC), Annandale, VA  ",38.8303905,-77.1963703
"Carolina Donor Services (NCNC), Greenville, NC *  ",35.612661,-77.3663538
"Tennessee Donor Services (TNDS), Nashville, TN *  ",36.1626638,-86.7816016
"New England Organ Bank (MAOB), Waltham, MA *  ",42.3764852,-71.2356113
"Center for Donation and Transplant (NYAP), Albany, NY *  ",42.6525793,-73.7562317
"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA  ",47.610377,-122.2006786
"Pacific Northwest Transplant Bank (ORUO), Portland, OR *  ",45.5230622,-122.6764816
"Wisconsin Donor Network (WIDN), Milwaukee, WI  ",43.0389025,-87.9064736
"University of Wisconsin Organ Procurement Organization (WIUW), Madison, WI  ",43.0730517,-89.4012302
"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN *  ",44.9537029,-93.0899578
"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY *  ",38.2526647,-85.7584557
"Lifeline of Ohio (OHLP), Columbus, OH *  ",39.9611755,-82.9987942
"Center for Organ Recovery and Education (PATF), Pittsburgh, PA *  ",40.4406248,-79.9958864
"LifeNet Health (VATB), Virginia Beach, VA *  ",36.8529263,-75.977985
"Donor Alliance (CORS), Denver, CO *  ",39.7392358,-104.990251
"Intermountain Donor Services (UTOP), Salt Lake City, UT *  ",40.7607793,-111.8910474
